transaction_id,items
T0001,"Tortillas,Salsa,Cheese,Milk"
T0002,"Milk,Cereal,Bananas,Yogurt"
T0003,"Chicken,Rice,Beans,Tomatoes"
T0004,"Apples,Bananas,Oranges,Grapes"
T0005,"Pasta,Tomatoes,Cheese,Bread"
T0006,"Ground Beef,Tortillas,Salsa,Cheese,Onions"
T0007,"Coffee,Sugar,Milk"
T0008,"Shampoo,Soap,Toothpaste"
T0009,"Frozen Pizza,Chips,Ice Cream"
T0010,"Lettuce,Tomatoes,Onions,Carrots"
T0011,"Milk,Cereal,Bananas"
T0012,"Chicken,Rice,Beans,Spinach"
T0013,"Apples,Bananas,Oranges"
T00114,"Pasta,Tomatoes,Cheese"
T0015,"Ground Beef,Tortillas,Salsa,Cheese"
T0016,"Coffee,Sugar,Bread"
T0017,"Shampoo,Soap,Toothpaste"
T0018,"Frozen Pizza,Chips"
T0019,"Lettuce,Tomatoes,Onions,Carrots,Potatoes"
T0020,"Milk,Cereal,Bananas,Yogurt"
T0021,"Chicken,Rice,Beans"
T0022,"Apples,Bananas,Oranges,Grapes"
T0023,"Pasta,Tomatoes,Cheese"
T0024,"Ground Beef,Tortillas,Salsa,Cheese"
T0025,"Coffee,Sugar"
T0026,"Shampoo,Soap,Toothpaste"
T0027,"Frozen Pizza,Chips"
T0028,"Lettuce,Tomatoes,Onions,Carrots"
T0029,"Milk,Cereal,Bananas"
T0030,"Chicken,Rice,Beans"
T0031,"Apples,Bananas,Oranges"
T0032,"Pasta,Tomatoes,Cheese"
T0033,"Ground Beef,Tortillas,Salsa,Cheese"
T0034,"Coffee,Sugar"
T0035,"Shampoo,Soap,Toothpaste"
T0036,"Frozen Pizza,Chips"
T0037,"Lettuce,Tomatoes,Onions,Carrots"
T0038,"Milk,Cereal,Bananas"
T0039,"Chicken,Rice,Beans"
T0040,"Apples,Bananas,Oranges"
T0041,"Pasta,Tomatoes,Cheese"
T0042,"Ground Beef,Tortillas,Salsa,Cheese"
T0043,"Coffee,Sugar"
T0044,"Shampoo,Soap,Toothpaste"
T0045,"Frozen Pizza,Chips"
T0046,"Lettuce,Tomatoes,Onions,Carrots"
T0047,"Milk,Cereal,Bananas"
T0048,"Chicken,Rice,Beans"
T0049,"Apples,Bananas,Oranges"
T0050,"Pasta,Tomatoes,Cheese"
T0051,"Ground Beef,Tortillas,Salsa,Cheese"
T0052,"Coffee,Sugar"
T0053,"Shampoo,Soap,Toothpaste"
T0054,"Frozen Pizza,Chips"
T0055,"Lettuce,Tomatoes,Onions,Carrots"
T0056,"Milk,Cereal,Bananas"
T0057,"Chicken,Rice,Beans"
T0058,"Apples,Bananas,Oranges"
T0059,"Pasta,Tomatoes,Cheese"
T0060,"Ground Beef,Tortillas,Salsa,Cheese"
T0061,"Coffee,Sugar"
T0062,"Shampoo,Soap,Toothpaste"
T0063,"Frozen Pizza,Chips"
T0064,"Lettuce,Tomatoes,Onions,Carrots"
T0065,"Milk,Cereal,Bananas"
T0066,"Chicken,Rice,Beans"
T0067,"Apples,Bananas,Oranges"
T0068,"Pasta,Tomatoes,Cheese"
T0069,"Ground Beef,Tortillas,Salsa,Cheese"
T0070,"Coffee,Sugar"
T0071,"Shampoo,Soap,Toothpaste"
T0072,"Frozen Pizza,Chips"
T0073,"Lettuce,Tomatoes,Onions,Carrots"
T0074,"Milk,Cereal,Bananas"
T0075,"Chicken,Rice,Beans"
T0076,"Apples,Bananas,Oranges"
T0077,"Pasta,Tomatoes,Cheese"
T0078,"Ground Beef,Tortillas,Salsa,Cheese"
T0079,"Coffee,Sugar"
T0080,"Shampoo,Soap,Toothpaste"
T0081,"Frozen Pizza,Chips"
